x,y,z
-4.513431,0.382586,230.490620
3.687974,3.725057,160.357639
2.775434,-4.186904,230.463420
3.061542,-2.614466,21.300932
2.666386,1.018869,22.716732
-2.726613,-4.106621,113.084252
-3.601986,-3.935127,32.204701
2.261202,-0.315572,50.659701
1.647312,-2.610774,116.248256
0.918584,1.732493,82.671543
-2.271275,-4.691186,277.416191
-0.568321,3.129091,57.518851
-4.205719,-3.377044,6.692606
-0.352838,2.686804,68.013480
-1.271212,0.081541,155.667789
4.003511,3.563369,169.572270
1.047504,-4.379863,383.160438
0.981284,-3.613890,237.431159
-4.307498,-2.395740,63.886301
-4.206163,-1.989133,71.164965
3.700537,4.353632,291.709571
-4.570611,1.768431,204.427710
-2.641353,3.638215,20.635558
-0.698214,0.072066,163.413487
1.612650,2.996112,38.813245
1.953875,-1.286476,91.336457
-2.852419,1.934270,39.303424
-2.213902,-1.835268,94.946691
2.905885,1.988562,1.986382
2.326335,1.771690,18.264075
4.290632,2.451663,116.337023
-1.738583,-4.090439,217.130561
-4.056498,-4.222687,55.674396
-4.910461,2.146342,288.281352
-2.867548,-0.113426,100.348233
-1.611195,-4.547219,322.253077
2.112511,1.898001,17.886660
-0.907227,1.256144,125.014710
-1.506461,-3.866376,202.041235
1.343311,-3.483116,198.675899
3.589238,3.719476,147.998269
-3.093631,-4.587249,149.900717
-4.837330,-2.942204,94.230025
2.990439,2.623779,12.662392
4.060603,1.288192,46.393266
0.468428,-0.705192,165.909924
-0.732915,3.455673,73.796371
0.939576,-3.696122,255.156604
4.984781,0.234582,202.252723
0.915157,-2.482092,154.394079
-2.791264,-1.177486,88.118859
-4.842902,-2.276956,151.211533
-4.744636,2.876993,217.717223
-4.824476,4.343052,322.078286
-0.637734,-1.624870,169.231116
4.071934,-1.277392,29.395398
2.513309,1.992773,4.170626
-1.253074,-2.325156,146.190988
3.716555,-2.959738,26.602035
2.907629,-4.441500,295.621539
4.420958,0.254002,78.078362
4.649549,-0.403961,101.785167
1.946561,4.340858,195.962604
-1.908253,3.839468,38.609112
2.212787,-1.204144,73.269332
-1.537527,3.434927,35.444456
1.181817,4.433138,214.934222
-2.849087,-4.660048,196.595887
-3.924981,3.068451,54.128746
-0.179436,0.125229,173.388892
4.601186,0.038619,112.368040
0.637089,-4.155276,334.729439
-4.615233,-4.810785,165.199083
-3.481649,2.234243,40.893366
0.265646,2.597663,64.291220
-1.946467,-3.096985,105.586447
1.230442,-1.178466,134.998490
1.420019,-4.336481,353.587418
4.490843,3.066544,193.228602
2.534977,3.251953,27.561254
-1.115502,-1.169768,164.599050
-0.251381,4.460440,197.811221
1.295034,-3.220082,181.820566
-0.219465,2.451611,83.373407
1.133529,3.897361,127.626498
-3.064823,0.713945,95.453465
-1.474814,1.754795,84.211444
1.682003,-4.568365,400.602055
-0.743928,3.932308,102.669339
0.343284,2.475060,70.553126
-0.006504,4.984819,360.896259
2.965761,-3.755022,140.193821
4.372311,3.490384,221.937546
4.075087,-3.669539,119.016428
2.502046,3.621924,74.324121
-1.677758,1.715352,80.068825
-3.525812,-3.906066,25.906941
-3.828983,-3.884514,15.609679
2.390093,3.140344,36.687266
2.811281,-2.757283,43.694491
1.001932,2.361708,60.523054
-4.896604,1.690188,295.459965
-3.355694,-0.158241,110.711709
3.932751,-1.720870,4.842958
4.379705,-0.449261,73.210873
2.293607,-4.584293,370.346414
-1.503406,-4.318489,276.230817
-4.715445,1.187960,257.488691
4.330464,-2.039487,33.450940
1.987666,-3.525621,173.110821
-4.665516,0.234808,249.364780
-4.643147,2.104763,208.582811
3.455410,2.779613,33.772441
-4.590036,-0.578747,228.196450
-1.194871,1.621092,94.451193
-2.799395,1.987665,32.819986
1.369836,-1.570520,129.417321
-0.026527,4.863880,317.174687
4.574545,1.382292,133.827186
-0.608880,-1.982948,180.352725
3.697951,-0.697341,7.686333
-3.601195,0.593428,110.218588
-1.917661,2.427428,36.770860
-3.531293,3.821268,38.694160
-1.880560,-1.358833,133.959231
2.011650,-3.019157,117.484769
3.030318,-4.393513,269.871201
3.790426,2.298005,39.300707
-4.960566,1.060084,322.747893
3.279220,-2.630432,16.889416
1.418021,-4.747109,478.415929
1.691168,2.839714,33.776362
0.657313,-1.553651,162.877760
-1.186400,-1.785131,150.295407
3.542896,0.374864,16.570265
-3.271775,3.500125,11.451779
-1.801168,-1.210049,141.070887
0.267361,4.883753,326.971487
1.811485,1.963125,32.700995
-1.204534,2.528802,61.857476
-4.059436,1.520284,126.677450
4.758459,-2.640362,110.044921
3.527857,-3.781020,120.524529
3.335470,-3.770704,121.710115
-4.589579,-4.077250,59.515260
0.267506,0.432330,155.436101
-0.414629,-3.606893,237.080011
3.585638,2.963858,54.465162
4.700684,3.211806,265.456395
-1.272103,2.896375,39.353788
-3.546245,1.456368,78.621139
